customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status,loan_to_income
59.0,25,128000.0,RENT,9.0,PERSONAL,A,30000.0,7.29,10,Unknown,4,NO DEFAULT,0.234375
60.0,24,12000.0,OWN,2.0,VENTURE,D,1750.0,15.99,4,Y,3,NO DEFAULT,0.14583333333333334
61.0,21,131000.0,RENT,0.0,VENTURE,A,30000.0,5.99,10,Unknown,4,NO DEFAULT,0.22900763358778625
62.0,22,275000.0,OWN,6.0,VENTURE,A,12000.0,11.58,10,Unknown,2,NO DEFAULT,0.04363636363636364
63.0,26,263000.0,MORTGAGE,0.0,EDUCATION,A,10000.0,7.9,6,N,4,DEFAULT,0.03802281368821293
64.0,25,221850.0,MORTGAGE,9.0,MEDICAL,C,25000.0,15.7,10,N,2,DEFAULT,0.1126887536623845
65.0,22,70000.0,RENT,6.0,EDUCATION,C,29100.0,15.99,10,N,3,DEFAULT,0.4157142857142857
66.0,22,12000.0,MORTGAGE,7.0,EDUCATION,C,1500.0,14.84,2,Y,3,NO DEFAULT,0.125
67.0,26,260000.0,OWN,10.0,HOMEIMPROVEMENT,A,28000.0,10.99,10,Unknown,3,NO DEFAULT,0.1076923076923077
68.0,25,259000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,C,20000.0,14.42,10,Y,2,NO DEFAULT,0.07722007722007722
69.0,24,255000.0,MORTGAGE,9.0,EDUCATION,A,9600.0,6.99,4,Unknown,2,NO DEFAULT,0.03764705882352941
70.0,25,250000.0,RENT,2.0,MEDICAL,B,25000.0,13.49,10,Unknown,4,NO DEFAULT,0.1
71.0,25,12000.0,OWN,0.0,MEDICAL,B,3000.0,11.71,5,N,3,DEFAULT,0.25
72.0,22,56950.0,RENT,6.0,MEDICAL,A,28000.0,7.9,10,Unknown,2,NO DEFAULT,0.4916593503072871
73.0,21,12000.0,OWN,6.0,EDUCATION,B,3000.0,13.61,1,Y,3,DEFAULT,0.25
74.0,23,65000.0,RENT,2.0,EDUCATION,A,28000.0,7.9,10,Unknown,2,NO DEFAULT,0.4307692307692308
75.0,26,85000.0,RENT,2.0,VENTURE,A,28000.0,7.49,10,Unknown,3,NO DEFAULT,0.32941176470588235
76.0,26,12000.0,OWN,2.0,EDUCATION,A,6100.0,7.51,6,N,3,DEFAULT,0.5083333333333333
77.0,22,88000.0,RENT,6.0,VENTURE,A,28000.0,9.91,10,Unknown,3,NO DEFAULT,0.3181818181818182
78.0,21,12000.0,OWN,0.0,PERSONAL,B,4200.0,13.48,1,Y,4,DEFAULT,0.35
79.0,22,12000.0,OWN,6.0,DEBTCONSOLIDATION,A,4750.0,7.14,2,N,2,DEFAULT,0.3958333333333333
80.0,24,83004.0,RENT,0.0,VENTURE,C,28000.0,15.99,10,Y,4,DEFAULT,0.33733314057153874
81.0,24,250000.0,RENT,2.0,EDUCATION,B,18000.0,12.98,10,Y,3,NO DEFAULT,0.072
83.0,25,100000.0,RENT,5.0,DEBTCONSOLIDATION,A,28000.0,12.69,10,Unknown,3,NO DEFAULT,0.28
84.0,26,110000.0,RENT,10.0,EDUCATION,A,28000.0,8.9,10,Unknown,2,NO DEFAULT,0.2545454545454545
85.0,26,12000.0,OWN,0.0,DEBTCONSOLIDATION,A,2700.0,7.9,6,N,4,DEFAULT,0.225
86.0,22,108000.0,RENT,6.0,EDUCATION,A,28000.0,7.9,10,Unknown,4,NO DEFAULT,0.25925925925925924
87.0,23,151200.0,RENT,7.0,DEBTCONSOLIDATION,A,28000.0,11.11,10,Unknown,2,NO DEFAULT,0.18518518518518517
88.0,24,69000.0,RENT,2.0,HOMEIMPROVEMENT,A,27600.0,7.9,10,Unknown,2,NO DEFAULT,0.4
89.0,21,12000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,D,3250.0,15.68,1,Y,3,DEFAULT,0.2708333333333333
90.0,22,70000.0,RENT,4.0,EDUCATION,B,27500.0,13.06,10,Y,3,DEFAULT,0.39285714285714285
91.0,22,240000.0,OWN,6.0,PERSONAL,A,25000.0,7.9,10,Y,2,NO DEFAULT,0.10416666666666667
92.0,26,73200.0,RENT,5.0,VENTURE,C,27050.0,15.62,10,Y,2,DEFAULT,0.36953551912568305
93.0,24,83000.0,RENT,5.0,PERSONAL,B,27000.0,13.49,10,Y,2,DEFAULT,0.3253012048192771
94.0,24,73399.0,RENT,0.0,VENTURE,C,27000.0,14.11,10,N,3,DEFAULT,0.36785242305753485
95.0,23,62500.0,RENT,7.0,MEDICAL,A,26000.0,11.71,10,Unknown,2,NO DEFAULT,0.416
96.0,23,120000.0,RENT,1.0,EDUCATION,A,25600.0,12.69,10,Unknown,3,NO DEFAULT,0.21333333333333335
97.0,24,12360.0,OWN,2.0,MEDICAL,B,1600.0,13.57,4,Unknown,3,NO DEFAULT,0.12944983818770225
98.0,22,60000.0,RENT,0.0,VENTURE,A,25475.0,10.99,10,Unknown,3,NO DEFAULT,0.4245833333333333
99.0,25,234000.0,MORTGAGE,3.0,MEDICAL,B,20000.0,14.27,10,Y,4,NO DEFAULT,0.08547008547008547
100.0,24,234000.0,OWN,8.0,HOMEIMPROVEMENT,A,20000.0,8.88,10,Unknown,4,NO DEFAULT,0.08547008547008547
101.0,26,234000.0,MORTGAGE,10.0,HOMEIMPROVEMENT,A,21600.0,12.18,10,Unknown,3,NO DEFAULT,0.09230769230769231
102.0,25,221004.0,MORTGAGE,6.0,DEBTCONSOLIDATION,C,11900.0,14.42,10,Y,3,DEFAULT,0.053845179272773346
103.0,26,232500.0,MORTGAGE,0.0,MEDICAL,B,25000.0,14.17,10,Y,2,NO DEFAULT,0.10752688172043011
104.0,25,230000.0,MORTGAGE,5.0,MEDICAL,B,35000.0,13.99,10,Unknown,4,NO DEFAULT,0.15217391304347827
105.0,23,83000.0,RENT,7.0,EDUCATION,A,25300.0,10.99,10,Unknown,3,NO DEFAULT,0.30481927710843376
106.0,22,12600.0,MORTGAGE,,PERSONAL,A,2000.0,5.42,2,N,4,DEFAULT,0.15873015873015872
107.0,25,12600.0,OWN,3.0,PERSONAL,B,1750.0,13.61,5,Unknown,3,NO DEFAULT,0.1388888888888889
108.0,21,42500.0,RENT,3.0,EDUCATION,B,25000.0,12.73,10,Y,3,DEFAULT,0.5882352941176471
109.0,24,41000.0,RENT,2.0,HOMEIMPROVEMENT,C,25000.0,14.11,10,N,3,DEFAULT,0.6097560975609756
110.0,25,12816.0,OWN,0.0,DEBTCONSOLIDATION,B,3000.0,12.87,5,Y,4,DEFAULT,0.2340823970037453
111.0,24,12960.0,MORTGAGE,1.0,HOMEIMPROVEMENT,A,3650.0,9.91,4,N,3,DEFAULT,0.2816358024691358
112.0,26,226000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,A,20000.0,11.49,10,Unknown,4,NO DEFAULT,0.08849557522123894
113.0,25,225000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,D,30000.0,19.91,10,Y,2,NO DEFAULT,0.13333333333333333
114.0,26,213000.0,MORTGAGE,6.0,EDUCATION,A,35000.0,10.65,10,N,2,DEFAULT,0.1643192488262911
115.0,24,225000.0,RENT,0.0,MEDICAL,A,6000.0,7.9,4,Unknown,4,NO DEFAULT,0.02666666666666667
116.0,24,12960.0,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4500.0,11.83,4,N,4,DEFAULT,0.3472222222222222
117.0,23,12996.0,OWN,0.0,DEBTCONSOLIDATION,B,2400.0,13.49,3,Y,2,DEFAULT,0.18467220683287167
118.0,22,42000.0,RENT,6.0,MEDICAL,C,25000.0,14.59,10,Y,2,DEFAULT,0.5952380952380952
119.0,26,48000.0,RENT,2.0,EDUCATION,B,25000.0,9.64,10,N,4,DEFAULT,0.5208333333333334
120.0,25,12996.0,OWN,1.0,MEDICAL,C,3600.0,14.59,5,N,3,DEFAULT,0.2770083102493075
121.0,22,12996.0,OWN,1.0,EDUCATION,A,4750.0,7.9,2,N,3,DEFAULT,0.3654970760233918
122.0,25,42360.0,RENT,1.0,EDUCATION,D,25000.0,16.35,10,Y,3,DEFAULT,0.5901794145420207
123.0,21,49000.0,RENT,4.0,EDUCATION,B,25000.0,10.99,10,N,2,DEFAULT,0.5102040816326531
124.0,25,225000.0,MORTGAGE,0.0,VENTURE,E,25000.0,18.67,10,Unknown,2,NO DEFAULT,0.1111111111111111
125.0,26,225000.0,RENT,1.0,EDUCATION,A,3000.0,9.32,6,Unknown,4,NO DEFAULT,0.013333333333333334
126.0,23,225000.0,RENT,8.0,DEBTCONSOLIDATION,A,7500.0,8.63,3,Unknown,2,NO DEFAULT,0.03333333333333333
127.0,26,225000.0,MORTGAGE,2.0,VENTURE,A,25000.0,10.08,10,Unknown,2,NO DEFAULT,0.1111111111111111
128.0,22,49464.0,RENT,5.0,PERSONAL,B,25000.0,11.83,10,N,3,DEFAULT,0.5054180818372959
129.0,23,50000.0,RENT,1.0,DEBTCONSOLIDATION,A,25000.0,7.9,10,Unknown,3,NO DEFAULT,0.5
130.0,25,50000.0,RENT,4.0,HOMEIMPROVEMENT,A,25000.0,5.99,10,N,2,DEFAULT,0.5
131.0,24,44000.0,RENT,2.0,DEBTCONSOLIDATION,C,25000.0,15.33,10,N,2,DEFAULT,0.5681818181818182
132.0,23,50000.0,RENT,1.0,VENTURE,A,25000.0,11.83,10,Y,4,NO DEFAULT,0.5
133.0,22,50004.0,RENT,0.0,VENTURE,A,25000.0,10.36,10,Unknown,2,NO DEFAULT,0.49996000319974404
134.0,22,50004.0,RENT,3.0,VENTURE,B,25000.0,12.23,10,N,3,DEFAULT,0.49996000319974404
135.0,22,52000.0,RENT,2.0,EDUCATION,A,25000.0,11.11,10,Unknown,4,NO DEFAULT,0.4807692307692308
136.0,23,13200.0,OWN,3.0,DEBTCONSOLIDATION,A,4950.0,7.9,3,N,4,DEFAULT,0.375
137.0,24,220000.0,MORTGAGE,1.0,EDUCATION,A,25000.0,11.58,10,Unknown,2,NO DEFAULT,0.11363636363636363
138.0,23,216000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000.0,8.9,10,Unknown,3,NO DEFAULT,0.09722222222222222
139.0,25,216000.0,MORTGAGE,2.0,EDUCATION,C,25000.0,16.07,10,Unknown,3,NO DEFAULT,0.11574074074074074
140.0,26,216000.0,MORTGAGE,10.0,EDUCATION,B,20000.0,14.22,10,Y,2,NO DEFAULT,0.09259259259259259
141.0,23,215000.0,MORTGAGE,7.0,MEDICAL,B,35000.0,14.79,10,Y,3,NO DEFAULT,0.16279069767441862
142.0,26,215000.0,MORTGAGE,11.0,EDUCATION,A,12000.0,7.88,10,Unknown,2,NO DEFAULT,0.05581395348837209
143.0,23,52000.0,RENT,1.0,PERSONAL,B,25000.0,13.22,10,N,2,DEFAULT,0.4807692307692308
144.0,26,46000.0,RENT,2.0,DEBTCONSOLIDATION,C,25000.0,11.86,10,N,4,DEFAULT,0.5434782608695652
145.0,22,53000.0,RENT,5.0,EDUCATION,B,25000.0,13.43,10,Y,4,DEFAULT,0.4716981132075472
146.0,26,47000.0,RENT,0.0,HOMEIMPROVEMENT,C,25000.0,15.28,10,Y,2,DEFAULT,0.5319148936170213
147.0,23,47000.0,RENT,1.0,VENTURE,D,25000.0,17.93,10,N,2,DEFAULT,0.5319148936170213
148.0,23,13200.0,MORTGAGE,2.0,EDUCATION,A,1400.0,9.25,3,Unknown,4,NO DEFAULT,0.10606060606060606
149.0,21,13200.0,OWN,0.0,VENTURE,B,4500.0,12.98,1,N,4,DEFAULT,0.3409090909090909
150.0,22,210000.0,MORTGAGE,6.0,VENTURE,A,16000.0,10.62,10,Unknown,4,NO DEFAULT,0.0761904761904762
151.0,26,210000.0,OWN,10.0,PERSONAL,A,22000.0,11.83,10,Unknown,4,NO DEFAULT,0.10476190476190476
152.0,26,48000.0,RENT,5.0,VENTURE,E,25000.0,18.43,10,N,2,DEFAULT,0.5208333333333334
153.0,22,54996.0,RENT,6.0,EDUCATION,A,25000.0,7.9,10,Unknown,4,NO DEFAULT,0.4545785148010764
154.0,24,55000.0,RENT,4.0,HOMEIMPROVEMENT,C,25000.0,14.11,10,Y,4,DEFAULT,0.45454545454545453
155.0,23,55000.0,RENT,4.0,EDUCATION,A,25000.0,11.36,10,Unknown,3,NO DEFAULT,0.45454545454545453
156.0,23,55000.0,RENT,4.0,EDUCATION,C,25000.0,15.65,10,Y,3,DEFAULT,0.45454545454545453
157.0,24,55164.0,RENT,8.0,PERSONAL,B,25000.0,13.22,10,Y,4,DEFAULT,0.4531941121020956
158.0,26,56000.0,RENT,4.0,DEBTCONSOLIDATION,B,25000.0,12.87,10,N,2,DEFAULT,0.44642857142857145
159.0,24,203500.0,OWN,8.0,MEDICAL,B,20000.0,13.04,10,Unknown,3,NO DEFAULT,0.09828009828009827
160.0,23,190000.0,MORTGAGE,5.0,EDUCATION,E,22000.0,17.58,10,Y,3,DEFAULT,0.11578947368421053
161.0,23,13920.0,OWN,2.0,PERSONAL,D,7750.0,17.04,3,N,4,DEFAULT,0.5567528735632183
162.0,24,60000.0,RENT,0.0,PERSONAL,A,25000.0,10.99,10,N,3,DEFAULT,0.4166666666666667
163.0,24,60000.0,RENT,2.0,PERSONAL,A,25000.0,11.11,10,N,3,DEFAULT,0.4166666666666667
164.0,26,54000.0,RENT,7.0,DEBTCONSOLIDATION,C,25000.0,14.83,10,Y,2,DEFAULT,0.46296296296296297
165.0,23,14000.0,OWN,2.0,DEBTCONSOLIDATION,C,4000.0,14.11,3,N,3,DEFAULT,0.2857142857142857
166.0,24,200000.0,RENT,8.0,MEDICAL,A,12000.0,12.69,10,Unknown,2,NO DEFAULT,0.06
167.0,24,200000.0,MORTGAGE,8.0,HOMEIMPROVEMENT,B,12000.0,13.49,10,Unknown,2,NO DEFAULT,0.06
168.0,21,200000.0,MORTGAGE,5.0,EDUCATION,B,16000.0,14.65,10,Unknown,4,NO DEFAULT,0.08
169.0,25,54000.0,RENT,3.0,HOMEIMPROVEMENT,D,25000.0,16.82,10,N,4,DEFAULT,0.46296296296296297
170.0,23,60000.0,RENT,3.0,PERSONAL,B,25000.0,12.73,10,N,3,DEFAULT,0.4166666666666667
171.0,23,60000.0,RENT,7.0,PERSONAL,A,25000.0,10.25,10,N,4,DEFAULT,0.4166666666666667
172.0,21,60000.0,RENT,6.0,EDUCATION,A,25000.0,10.99,10,N,4,DEFAULT,0.4166666666666667
173.0,25,61959.0,RENT,9.0,MEDICAL,B,25000.0,12.73,10,N,2,DEFAULT,0.4034926322245356
174.0,22,56400.0,RENT,2.0,HOMEIMPROVEMENT,C,25000.0,14.96,10,Y,3,DEFAULT,0.4432624113475177
175.0,23,200000.0,MORTGAGE,7.0,EDUCATION,A,28000.0,7.9,10,Unknown,2,NO DEFAULT,0.14
176.0,21,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,25000.0,13.99,10,Unknown,2,NO DEFAULT,0.125
177.0,24,200000.0,MORTGAGE,3.0,VENTURE,A,24000.0,7.49,10,Y,4,NO DEFAULT,0.12
178.0,26,200000.0,MORTGAGE,4.0,EDUCATION,B,15000.0,14.79,10,Unknown,3,NO DEFAULT,0.075
179.0,25,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,A,15500.0,11.99,10,Unknown,2,NO DEFAULT,0.0775
180.0,24,200000.0,RENT,8.0,EDUCATION,A,10000.0,8.49,4,Unknown,4,NO DEFAULT,0.05
181.0,24,66000.0,RENT,3.0,EDUCATION,A,25000.0,9.91,10,N,2,DEFAULT,0.3787878787878788
182.0,22,66000.0,RENT,6.0,EDUCATION,B,25000.0,13.06,10,Y,3,DEFAULT,0.3787878787878788
183.0,22,200000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000.0,6.17,2,Unknown,4,NO DEFAULT,0.045
185.0,25,200000.0,RENT,5.0,EDUCATION,C,18000.0,16.32,10,Unknown,3,NO DEFAULT,0.09
186.0,25,200000.0,MORTGAGE,2.0,VENTURE,A,12000.0,10.38,10,Unknown,2,NO DEFAULT,0.06
187.0,25,200000.0,MORTGAGE,9.0,PERSONAL,B,23050.0,14.35,10,Unknown,3,NO DEFAULT,0.11525
188.0,24,200000.0,MORTGAGE,8.0,DEBTCONSOLIDATION,A,20000.0,7.9,10,Unknown,3,NO DEFAULT,0.1
189.0,24,60000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,15.99,10,Y,2,DEFAULT,0.4166666666666667
190.0,21,14400.0,OWN,0.0,HOMEIMPROVEMENT,A,3000.0,7.9,1,N,4,DEFAULT,0.20833333333333334
191.0,26,66996.0,RENT,10.0,PERSONAL,C,25000.0,15.21,10,Y,2,DEFAULT,0.37315660636455905
192.0,23,67000.0,RENT,3.0,EDUCATION,A,25000.0,7.9,10,N,4,DEFAULT,0.373134328358209
193.0,24,67000.0,RENT,2.0,VENTURE,A,25000.0,10.99,10,N,3,DEFAULT,0.373134328358209
194.0,24,68000.0,RENT,5.0,PERSONAL,C,25000.0,14.09,10,Y,3,DEFAULT,0.36764705882352944
195.0,25,69000.0,RENT,9.0,PERSONAL,C,25000.0,17.49,10,N,2,DEFAULT,0.36231884057971014
196.0,25,200000.0,MORTGAGE,0.0,EDUCATION,A,12000.0,11.48,10,Unknown,3,NO DEFAULT,0.06
197.0,26,188000.0,MORTGAGE,10.0,VENTURE,D,20000.0,17.74,10,N,2,DEFAULT,0.10638297872340426
198.0,26,200000.0,MORTGAGE,4.0,PERSONAL,B,3000.0,13.92,6,Unknown,3,NO DEFAULT,0.015
199.0,25,69996.0,RENT,9.0,EDUCATION,C,25000.0,15.21,10,N,3,DEFAULT,0.35716326647236984
200.0,22,14400.0,OWN,2.0,MEDICAL,A,4000.0,10.99,2,Y,3,DEFAULT,0.2777777777777778
201.0,24,70000.0,RENT,3.0,EDUCATION,A,25000.0,11.86,10,N,4,DEFAULT,0.35714285714285715
202.0,24,14400.0,OWN,5.0,PERSONAL,A,6000.0,7.49,4,N,3,DEFAULT,0.4166666666666667
203.0,24,56100.0,RENT,7.0,MEDICAL,C,25000.0,16.49,10,N,4,DEFAULT,0.44563279857397503
204.0,25,66000.0,RENT,9.0,VENTURE,C,25000.0,15.33,10,Y,2,DEFAULT,0.3787878787878788
205.0,26,66000.0,RENT,3.0,HOMEIMPROVEMENT,A,25000.0,11.58,10,N,4,DEFAULT,0.3787878787878788
206.0,25,14400.0,OWN,7.0,EDUCATION,A,5375.0,5.79,5,N,2,DEFAULT,0.3732638888888889
207.0,25,72612.0,RENT,9.0,MEDICAL,B,25000.0,13.11,10,N,2,DEFAULT,0.3442957086982868
208.0,23,74000.0,RENT,3.0,MEDICAL,A,25000.0,10.36,10,N,3,DEFAULT,0.33783783783783783
209.0,25,75000.0,RENT,9.0,DEBTCONSOLIDATION,A,25000.0,10.36,10,Y,2,DEFAULT,0.3333333333333333
210.0,24,192000.0,RENT,0.0,MEDICAL,B,22000.0,11.71,10,Y,2,NO DEFAULT,0.11458333333333333
212.0,25,191000.0,MORTGAGE,1.0,MEDICAL,A,10000.0,12.53,5,Unknown,4,NO DEFAULT,0.05235602094240838
213.0,26,190300.0,MORTGAGE,5.0,PERSONAL,A,15000.0,7.9,10,Unknown,3,NO DEFAULT,0.0788229111928534
214.0,22,190000.0,MORTGAGE,3.0,VENTURE,B,10000.0,11.71,2,Unknown,3,NO DEFAULT,0.05263157894736842
215.0,24,75000.0,RENT,4.0,EDUCATION,A,25000.0,10.25,10,N,4,DEFAULT,0.3333333333333333
216.0,22,71000.0,RENT,1.0,EDUCATION,C,25000.0,15.95,10,Y,4,DEFAULT,0.352112676056338
217.0,26,190000.0,MORTGAGE,3.0,VENTURE,A,20000.0,12.18,10,Unknown,4,NO DEFAULT,0.10526315789473684
218.0,23,189996.0,OWN,0.0,PERSONAL,A,24000.0,11.83,10,Unknown,3,NO DEFAULT,0.12631844880944862
220.0,23,78000.0,RENT,1.0,VENTURE,A,25000.0,10.62,10,N,3,DEFAULT,0.32051282051282054
221.0,23,78504.0,RENT,7.0,VENTURE,A,25000.0,10.74,10,N,3,DEFAULT,0.3184551105676144
222.0,25,186000.0,OWN,9.0,VENTURE,A,10000.0,10.25,5,Unknown,4,NO DEFAULT,0.053763440860215055
223.0,24,185000.0,MORTGAGE,,EDUCATION,A,35000.0,12.42,10,Unknown,2,NO DEFAULT,0.1891891891891892
224.0,25,185000.0,RENT,6.0,VENTURE,B,15000.0,15.27,10,Unknown,2,NO DEFAULT,0.08108108108108109
